Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
367 /api/goal/calculateuseractivity,50,5226,5078,11031,12135,13713,634,13713,0.000%,.45001,1.85,0.18
368 /api/goal/calculateuseractivity,50,6996,6567,14090,15848,17490,666,17490,0.000%,.42371,1.75,0.17
365 /api/goal/userGoals,50,13797,11780,21483,21991,29256,3096,29256,0.000%,.39047,12.74,0.15
366 /api/goal/userGoals,50,17005,16251,24489,25052,30844,7014,30844,0.000%,.37669,12.29,0.15
369 /api/goal/userGoals,50,18076,18342,24137,26856,29633,6536,29633,0.000%,.36969,12.06,0.14
371 /api/goal/updateUserActivity,50,6847,6800,10571,11506,16590,2134,16590,0.000%,.38644,1.42,0.19
370 /api/goal/updateUserActivity,50,7779,5925,13797,15394,16302,2556,16302,0.000%,.38446,1.41,0.19
372 /api/goal/calculateuseractivity,50,10435,9845,17342,17988,21999,4227,21999,0.000%,.37198,1.53,0.15
374 /api/goal/updateUserActivity,50,6278,4568,13270,14409,15368,1233,15368,0.000%,.39030,1.43,0.19
373 /api/goal/userGoals,50,13252,12311,19152,19610,21417,4203,21417,0.000%,.38307,12.49,0.15
375 /api/goal/updateUserActivity,50,5006,4561,8247,8951,10019,1308,10019,0.000%,.42447,1.56,0.21
377 /api/goal/updateUserActivity,50,4945,4860,6975,8695,9988,1486,9988,0.000%,.42655,1.56,0.21
376 /api/goal/updateUserActivity,50,5060,4831,6581,7832,9145,2051,9145,0.000%,.41499,1.52,0.20
378 /api/goal/calculateuseractivity,50,7529,6653,11135,12629,18632,3722,18632,0.000%,.41305,1.70,0.16
380 /api/goal/calculateuseractivity,50,7210,6455,11044,12702,16934,2366,16934,0.000%,.41280,1.70,0.16
381 /api/goal/calculateuseractivity,50,7884,7422,12506,13315,16079,2915,16079,0.000%,.40078,1.65,0.16
379 /api/goal/userGoals,50,13409,12394,18739,19778,20586,6746,20586,0.000%,.37610,12.27,0.15
382 /api/goal/userGoals,50,14708,15069,18646,19464,20750,7506,20750,0.000%,.35304,11.51,0.14
383 /api/goal/userGoals,50,16447,16857,19984,21040,25461,10010,25461,0.000%,.33724,11.00,0.13
384 /api/goal/calculateuseractivity,50,10652,10400,13602,13849,14980,5797,14980,0.000%,.33663,1.39,0.13
386 /api/goal/calculateuseractivity,50,10216,10277,13554,14178,17540,3356,17540,0.000%,.33744,1.39,0.13
385 /api/goal/userGoals,50,16100,15809,19712,19800,22462,9718,22462,0.000%,.33449,10.91,0.13
387 /api/goal/userGoals,50,15707,15494,19006,19092,19966,11779,19966,0.000%,.32810,10.70,0.13
